,ALACHUA,BAKER,BAY,BRADFORD,BREVARD,BROWARD,CALHOUN,CHARLOTTE,CITRUS,CLAY,COLLIER,COLUMBIA,DESOTO,DIXIE,DUVAL,ESCAMBIA,FLAGLER,FRANKLIN,GADSDEN,GILCHRIST,GLADES,GULF,HAMILTON,HARDEE,HENDRY,HERNANDO,HIGHLANDS,HILLSBOROUGH,HOLMES,INDIANRIVER,JACKSON,JEFFERSON,LAFAYETTE,LAKE,LEE,LEON,LEVY,LIBERTY,MADISON,MANATEE,MARION,MARTIN,MIAMI-DADE,MONROE,NASSAU,OKALOOSA,OKEECHOBEE,ORANGE,OSCEOLA,PALMBEACH,PASCO,PINELLAS,POLK,PUTNAM,SANTAROSA,SARASOTA,SEMINOLE,STJOHNS,STLUCIE,SUMTER,SUWANNEE,TAYLOR,UNION,VOLUSIA,WAKULLA,WALTON,WASHINGTON
LAFAYETTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023690164,0.0,0.0,0.0,0.0,0.0,0.00060713215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0790495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043037735,0.0026824074,0.0,0.0,0.0,0.0,0.0
LAKE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0921813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006051835,6.0103344e-14,0.0,0.0,0.0,6.03887e-13,0.0,0.0,0.0,0.00049837347,0.0,0.0,0.00854446,0.0,0.0,0.0,1.7392638e-06,0.0,0.0,0.0
LEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008744763,0.0,0.0,6.310063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.669097e-10,0.0,0.0,0.0,2.773083e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015176105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008744763,0.0,0.0,0.0,0.0,0.0,7.3202307e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016118007,0.0,0.0
LEVY,2.7797769e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.154972e-06,0.0,0.0,0.0,0.0,0.00011679705,0.0,0.0,0.0,0.0,0.0,0.0008556573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.350077e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIBERTY,0.0,0.0,0.0,0.0,0.0,0.0,0.013973032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032286718,0.00060324045,0.0,0.0,0.0005458148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9044234e-08,0.0,0.0,0.0,0.0,7.3202307e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046840523,0.0,0.0
MADISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001253849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028652034,1.0790495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43209e-05,0.00059937144,0.0,0.0,0.0,0.0,0.0
MANATEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0619387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022972474,0.0,0.0,0.0,0.0001326809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0268537e-10,0.0,0.0,0.026213605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARION,6.9524785e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.762813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0921813e-06,0.0,0.0,1.350077e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2871874e-05,0.0,0.0,0.0,0.0,0.0,1.7137521e-05,0.0,0.0,0.0,8.680632e-12,0.0,0.0,0.0
MARTIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1059128e-09,0.0,0.0,0.0,2.2884826e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0903763e-05,0.0,0.0,0.0003793999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02060954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIAMI-DADE,0.0,0.0,0.0,0.0,0.0,2.9120463e-06,0.0,0.0,0.0,0.0,4.8137872e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONROE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6029479e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NASSAU,0.0,1.5354855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022246322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKALOOSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032561768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022090706,0.0
OKEECHOBEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410379e-05,0.0,0.0,0.0,5.2092323e-15,0.0,0.00074475905,0.0,0.0,0.001094119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0903763e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.534087e-10,4.6680525e-13,0.0,0.0,9.306707e-16,0.0,0.0,0.0,0.0,0.0,0.003474279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORANGE,0.0,0.0,0.0,0.0,1.1931256e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006051835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.261464e-05,0.0,0.0,0.0,5.6992935e-09,0.0,0.0,0.0,0.12835155,0.0,0.0,0.0,0.0,0.0,0.0,1.3477674e-06,0.0,0.0,0.0
OSCEOLA,0.0,0.0,0.0,0.0,0.000544051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.059537e-11,0.0,0.0,3.1669543e-07,0.0,0.0,0.0,6.0103344e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.534087e-10,7.261464e-05,0.0,0.0,0.0,0.0,1.740778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALMBEACH,0.0,0.0,0.0,0.0,0.0,2.8661108e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5455442e-10,0.0,0.0,0.0,2.1643606e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003793999,0.0,0.0,0.0,0.0,4.6680525e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787854,0.0,0.0018626091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0611638e-05,6.0053507e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.5863646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINELLAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028407301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0611638e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952829e-05,0.0,0.0,3.907065e-09,2.9367113e-06,0.0,0.0,0.0,0.0,0.0,6.03887e-13,0.0,0.0,0.0,0.0,0.0,1.0268537e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.306707e-16,5.6992935e-09,1.740778e-05,0.0,6.0053507e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9127179e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUTNAM,3.8891376e-06,0.0,0.0,2.6346223e-05,0.0,0.0,0.0,0.0,0.0,0.0017974892,0.0,0.0,0.0,0.0,0.0,0.0,0.0010285239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2871874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010190057,0.0,0.0,0.0,0.0,0.0,2.3830432e-10,0.0,0.0,0.0
SANTAROSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014741464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032561768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARASOTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013174758,0.0,0.0,0.0,0.0,0.00010954586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026213605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMINOLE,0.0,0.0,0.0,0.0,7.791962e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049837347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12835155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005774478,0.0,0.0,0.0
STJOHNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029734941,0.0,0.0,0.0,0.0,8.6435546e-05,0.0,0.00016093615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010190057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STLUCIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00856651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02060954,0.0,0.0,0.0,0.0,0.003474279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUMTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030593227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067028417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854446,0.0,0.0,0.0,0.0,0.0,0.0,1.7137521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5863646e-05,0.0,3.9127179e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUWANNEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011157422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9437397e-05,0.0,0.0,0.018944576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043037735,0.0,0.0,0.0,0.0,0.0,5.43209e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAYLOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4339815e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000116382646,0.0026824074,0.0,0.0,0.0,0.0,0.0,0.00059937144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNION,0.0029565918,0.021638501,0.0,0.18768619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03608175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOLUSIA,0.0,0.0,0.0,0.0,4.7698234e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072379113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7392638e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.680632e-12,0.0,0.0,0.0,0.0,0.0,0.0,1.3477674e-06,0.0,0.0,0.0,0.0,0.0,2.3830432e-10,0.0,0.0,0.005774478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAKULLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34131e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4459725e-06,0.0,0.0,0.0,0.016118007,0.0,0.00046840523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALTON,0.0,0.0,1.8988527e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027447415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022090706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032549677
WASHINGTON,0.0,0.0,0.0088124545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03091283,0.0,0.00029729414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032549677,0.0
